vendor,name,maintainers,codename,removable battery,release,screen,models,RAM,storage,SOC,Wiki Link
samsung,Galaxy Tab S2 9.7 Wi-Fi (2016),2,gts210vewifi,no,2016,9.7,SM-T813,3 GB,32/64 GB,Qualcomm MSM8976 Snapdragon 652,https://wiki.lineageos.org/devices/gts210vewifi
samsung,Galaxy Tab S2 8.0 Wi-Fi (2016),3,gts28vewifi,no,2016,8,SM-T713,3 GB,32/64 GB,Qualcomm MSM8976 Snapdragon 652,https://wiki.lineageos.org/devices/gts28vewifi
zuk,Z1,1,ham,no,2015-10-14,5.5,,3 GB,64 GB,Qualcomm MSM8974AC Snapdragon 801,https://wiki.lineageos.org/devices/ham
samsung,Galaxy Note 3 LTE (N9005/P),2,hlte,yes,2013-09,5.7,"SM-N9005,SM-N900P",3 GB,16/32/64 GB,Qualcomm MSM8974AB Snapdragon 800,https://wiki.lineageos.org/devices/hlte
samsung,Galaxy Note 3 LTE (N900T/V/W8),2,hltetmo,yes,2013-09,5.7,"SM-N900T,SM-N900V,SM-N900W8",3 GB,16/32/64 GB,Qualcomm MSM8974AB Snapdragon 800,https://wiki.lineageos.org/devices/hltetmo
xiaomi,Mi Note 3,1,jason,no,2017-09,5.5,,4/6 GB,64/128 GB,Qualcomm SDM660 Snapdragon 660,https://wiki.lineageos.org/devices/jason
lenovo,P2,2,kuntao,no,2016-11,5.5,P2a42,3/4 GB,32/64 GB,Qualcomm MSM8953 Snapdragon 625,https://wiki.lineageos.org/devices/kuntao
xiaomi,Redmi 3S/3X,1,land,no,2016-06,5.0,,2/3 GB,16/32 GB,Qualcomm MSM8937 Snapdragon 430,https://wiki.lineageos.org/devices/land
samsung,Galaxy S5 LTE-A,2,lentislte,yes,2014-07-15,5.1,"SM-G906S,SM-G906K,SM-G906L",3 GB,32 GB,Qualcomm APQ8084 Snapdragon 805,https://wiki.lineageos.org/devices/lentislte
xiaomi,Mi MIX,2,lithium,no,2016-10,6.4,,4/6 GB LPDDR4,128/256 GB UFS2.0,Qualcomm MSM8996 Pro Snapdragon 821,https://wiki.lineageos.org/devices/lithium
lge,G3 (Sprint),2,ls990,yes,2014-06,5.5,,3 GB,16/32 GB,Qualcomm MSM8974AC Snapdragon 801,https://wiki.lineageos.org/devices/ls990
google,Pixel XL,2,marlin,no,2016-10,5.5,,4 GB,32/128 GB,Qualcomm MSM8996 Pro Snapdragon 821,https://wiki.lineageos.org/devices/marlin
xiaomi,Redmi Note 4,1,mido,no,2017-01,5.5,,2/3/4 GB,32/64 GB,Qualcomm MSM8953 Snapdragon 625,https://wiki.lineageos.org/devices/mido
motorola,Moto Z2 Force,2,nash,no,2017-07,5.5,"XT1789-02,XT1789-03,XT1789-04,XT1789-05,XT1789-06,XT1789-07","4 GB, 6 GB","64 GB, 128 GB (UFS 2.1 2-LANE)",Qualcomm MSM8998 Snapdragon 835,https://wiki.lineageos.org/devices/nash
